bikeid,trip_season,duration_category,trip_year,trip_month,number_of_trips
14697,Winter,< 5 minutes,2018.0,11.0,8
14697,Winter,5 to 15 minutes,2018.0,11.0,3
14792,Summer,< 5 minutes,2019.0,9.0,7
14792,Summer,< 5 minutes,2019.0,10.0,2
14792,Summer,15 to 30 minutes,2019.0,9.0,2
14792,Summer,5 to 15 minutes,2019.0,9.0,7
14792,Summer,5 to 15 minutes,2019.0,10.0,4
14793,Summer,< 5 minutes,2018.0,10.0,7
14793,Summer,1 to 2 hours,2018.0,10.0,1
14793,Summer,15 to 30 minutes,2018.0,10.0,2
14793,Summer,30 minutes to 1 hour,2018.0,10.0,1
14793,Summer,5 to 15 minutes,2018.0,10.0,7
14956,Summer,< 5 minutes,2018.0,10.0,1
14956,Summer,15 to 30 minutes,2018.0,10.0,2
14956,Summer,5 to 15 minutes,2018.0,10.0,2
14967,Summer,< 5 minutes,2019.0,8.0,1
14967,Summer,1 to 2 hours,2019.0,8.0,1
14967,Summer,30 minutes to 1 hour,2019.0,8.0,2
14967,Summer,5 to 15 minutes,2019.0,8.0,2
14977,Summer,< 5 minutes,2018.0,9.0,15
14977,Summer,1 to 2 hours,2018.0,9.0,1
14977,Summer,15 to 30 minutes,2018.0,9.0,9
14977,Summer,5 to 15 minutes,2018.0,9.0,24
14991,Summer,< 5 minutes,2018.0,9.0,12
14991,Summer,15 to 30 minutes,2018.0,9.0,6
14991,Summer,30 minutes to 1 hour,2018.0,9.0,1
14991,Summer,5 to 15 minutes,2018.0,9.0,24
15021,Summer,< 5 minutes,2019.0,9.0,1
15021,Summer,15 to 30 minutes,2019.0,9.0,1
15021,Summer,5 to 15 minutes,2019.0,9.0,7
15035,Winter,< 5 minutes,2019.0,11.0,1
15114,Summer,< 5 minutes,2018.0,8.0,16
15114,Summer,15 to 30 minutes,2018.0,8.0,3
15114,Summer,30 minutes to 1 hour,2018.0,8.0,2
15114,Summer,5 to 15 minutes,2018.0,8.0,26
15271,Summer,< 5 minutes,2018.0,4.0,11
